CptProcedureCode,AlightSpecialtyDescription,SpecialtyBucket,ProcedureCodeDescription,,,,,
69602,ENT,ENT,REVISION MASTOIDECTOMY; RESULTING IN MODIFIED RADICAL MASTOIDECTOMY,,,,,
69603,ENT,ENT,REVISION MASTOIDECTOMY; RESULTING IN RADICAL MASTOIDECTOMY,,,,,
69604,ENT,ENT,REVISION MASTOIDECTOMY; RESULTING IN TYMPANOPLASTY,,,,,
69605,ENT,ENT,REVISION MASTOIDECTOMY; WITH APICECTOMY,,,,,
69610,ENT,ENT,"TYMPANIC MEMBRANE REPAIR, WITH OR WITHOUT SITE PREPARATION OF PERFORATION FOR CLOSURE, WITH OR WITHOUT PATCH",,,,,
69611,ENT,ENT,"(CODE DELETED IN 1990. TO REPORT, USE 69610) TYMPANIC MEMBRANE PATCHING WITH TISSUE GRAFT",,,,,
69620,ENT,ENT,MYRINGOPLASTY (SURGERY CONFINED TO DRUMHEAD AND DONOR AREA),,,,,
69631,ENT,ENT,"TYMPANOPLASTY WITHOUT MASTOIDECTOMY (INCLUDING CANALPLASTY, ATTICOTOMY AND/OR MIDDLE EAR SURGERY), INITIAL OR REVISION; WITHOUT OSSICULAR CHAIN RECONSTRUCTION",,,,,
69632,ENT,ENT,"TYMPANOPLASTY WITHOUT MASTOIDECTOMY (INCLUDING CANALPLASTY, ATTICOTOMY AND/OR MIDDLE EAR SURGERY), INITIAL OR REVISION; WITH OSSICULAR CHAIN RECONSTRUCTION (EG, POSTFENESTRATION)",,,,,
69633,ENT,ENT,"TYMPANOPLASTY WITHOUT MASTOIDECTOMY (INCLUDING CANALPLASTY, ATTICOTOMY AND/OR MIDDLE EAR SURGERY), INITIAL OR REVISION; WITH OSSICULAR CHAIN RECONSTRUCTION AND SYNTHETIC PROSTHESIS(EG, PARTIAL OSSICULAR REPLACEMENT PROSTHESIS, (PORP), TOTAL",,,,,
69635,ENT,ENT,"TYMPANOPLASTY WITH ANTROTOMY OR MASTOIDOTOMY (INCLUDING CANALPLASTY, ATTICOTOMY, MIDDLE EAR SURGERY, AND/OR TYMPANICMEMBRANE REPAIR); WITHOUT OSSICULAR CHAIN RECONSTRUCTION",,,,,
69636,ENT,ENT,"TYMPANOPLASTY WITH ANTROTOMY OR MASTOIDOTOMY (INCLUDING CANALPLASTY, ATTICOTOMY, MIDDLE EAR SURGERY, AND/OR TYMPANICMEMBRANE REPAIR); WITH OSSICULAR CHAIN RECONSTRUCTION",,,,,
69637,ENT,ENT,"TYMPANOPLASTY WITH ANTROTOMY OR MASTOIDOTOMY (INCLUDING CANALPLASTY, ATTICOTOMY, MIDDLE EAR SURGERY, AND/OR TYMPANICMEMBRANE REPAIR); WITH OSSICULAR CHAIN RECONSTRUCTION AND SYNTHETIC PROSTHESIS (EG, PARTIAL OSSICULAR REPLACEMENT PROSTHESIS",,,,,
69641,ENT,ENT,"TYMPANOPLASTY WITH MASTOIDECTOMY (INCLUDING CANALPLASTY, MIDDLE EAR SURGERY, TYMPANIC MEMBRANE REPAIR); WITHOUT OSSICULAR CHAIN RECONSTRUCTION",,,,,
69642,ENT,ENT,"TYMPANOPLASTY WITH MASTOIDECTOMY (INCLUDING CANALPLASTY, MIDDLE EAR SURGERY, TYMPANIC MEMBRANE REPAIR); WITH OSSICULAR CHAIN RECONSTRUCTION",,,,,
69643,ENT,ENT,"TYMPANOPLASTY WITH MASTOIDECTOMY (INCLUDING CANALPLASTY, MIDDLE EAR SURGERY, TYMPANIC MEMBRANE REPAIR); WITH INTACT OR RECONSTRUCTED WALL, WITHOUT OSSICULAR CHAIN RECONSTRUCTION",,,,,
69644,ENT,ENT,"TYMPANOPLASTY WITH MASTOIDECTOMY (INCLUDING CANALPLASTY, MIDDLE EAR SURGERY, TYMPANIC MEMBRANE REPAIR); WITH INTACT OR RECONSTRUCTED CANAL WALL, WITH OSSICULAR CHAIN RECONSTRUCTION",,,,,
69645,ENT,ENT,"TYMPANOPLASTY WITH MASTOIDECTOMY (INCLUDING CANALPLASTY, MIDDLE EAR SURGERY, TYMPANIC MEMBRANE REPAIR); RADICAL OR COMPLETE, WITHOUT OSSICULAR CHAIN RECONSTRUCTION",,,,,
69646,ENT,ENT,"TYMPANOPLASTY WITH MASTOIDECTOMY (INCLUDING CANALPLASTY, MIDDLE EAR SURGERY, TYMPANIC MEMBRANE REPAIR); RADICAL OR COMPLETE, WITH OSSICULAR CHAIN RECONSTRUCTION",,,,,
69650,ENT,ENT,STAPES MOBILIZATION,,,,,
69660,ENT,ENT,"STAPEDECTOMY OR STAPEDOTOMY WITH REESTABLISHMENT OF OSSICULAR CONTINUITY, WITH OR WITHOUT USE OF FOREIGN MATERIAL;",,,,,
69661,ENT,ENT,"STAPEDECTOMY OR STAPEDOTOMY WITH REESTABLISHMENT OF OSSICULAR CONTINUITY, WITH OR WITHOUT USE OF FOREIGN MATERIAL; WITH FOOTPLATE DRILL OUT",,,,,
69662,ENT,ENT,REVISION OF STAPEDECTOMY OR STAPEDOTOMY,,,,,
69666,ENT,ENT,REPAIR OVAL WINDOW FISTULA,,,,,
69667,ENT,ENT,REPAIR ROUND WINDOW FISTULA,,,,,
69670,ENT,ENT,MASTOID OBLITERATION (SEPARATE PROCEDURE),,,,,
69676,ENT,ENT,TYMPANIC NEURECTOMY,,,,,
69677,ENT,ENT,"(CODE DELETED IN 1990. TO REPORT, USE 69676) TYMPANIC NEURECTOMY; BILATERAL",,,,,
69700,ENT,ENT,"CLOSURE POSTAURICULAR FISTULA, MASTOID (SEPARATE PROCEDURE)",,,,,
69705,ENT,ENT,"NASOPHARYNGOSCOPY, SURGICAL, WITH DILATION OF EUSTACHIAN TUBE (IE, BALLOON DILATION); UNILATERAL",,,,,
69706,ENT,ENT,"NASOPHARYNGOSCOPY, SURGICAL, WITH DILATION OF EUSTACHIAN TUBE (IE, BALLOON DILATION); BILATERAL",,,,,
69710,ENT,ENT,IMPLANTATION OR REPLACEMENT OF ELECTROMAGNETIC BONE CONDUCTION HEARING DEVICE IN TEMPORAL BONE,,,,,
69711,ENT,ENT,REMOVAL OR REPAIR OF ELECTROMAGNETIC BONE CONDUCTION HEARINGDEVICE IN TEMPORAL BONE,,,,,
69714,ENT,ENT,"IMPLANTATION, OSSEOINTEGRATED IMPLANT, TEMPORAL BONE, WITH PERCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR/COCHLEAR STIMULATOR; WITHOUT MASTOIDECTOMY",,,,,
69715,ENT,ENT,"IMPLANTATION, OSSEOINTEGRATED IMPLANT, TEMPORAL BONE, WITH PERCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR/COCHLEAR STIMULATOR; WITH MASTOIDECTOMY",,,,,
69716,ENT,ENT,"IMPLANTATION, OSSEOINTEGRATED IMPLANT, SKULL; WITH MAGNETIC TRANSCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR",,,,,
69717,ENT,ENT,"REPLACEMENT (INCLUDING REMOVAL OF EXISTING DEVICE), OSSEOINTEGRATED IMPLANT, TEMPORAL BONE, WITH PERCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR/COCHLEAR STIMULATOR;WITHOUT MASTOIDECTOMY",,,,,
69718,ENT,ENT,"REPLACEMENT (INCLUDING REMOVAL OF EXISTING DEVICE), OSSEOINTEGRATED IMPLANT, TEMPORAL BONE, WITH PERCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR/COCHLEAR STIMULATOR;WITH MASTOIDECTOMY",,,,,
69719,ENT,ENT,"REVISION OR REPLACEMENT (INCLUDING REMOVAL OF EXISTING DEVICE), OSSEOINTEGRATED IMPLANT, SKULL; WITH MAGNETIC TRANSCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR",,,,,
69720,Neurosurgery,Neurosurgery,"DECOMPRESSION FACIAL NERVE, INTRATEMPORAL; LATERAL TO GENICULATE GANGLION",,,,,
69725,Neurosurgery,Neurosurgery,"DECOMPRESSION FACIAL NERVE, INTRATEMPORAL; INCLUDING MEDIAL TO GENICULATE GANGLION",,,,,
69726,ENT,ENT,"REMOVAL, OSSEOINTEGRATED IMPLANT, SKULL; WITH PERCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR",,,,,
69727,ENT,ENT,"REMOVAL, OSSEOINTEGRATED IMPLANT, SKULL; WWITH MAGNETIC TRANSCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR",,,,,
69740,Neurosurgery,Neurosurgery,"SUTURE FACIAL NERVE, INTRATEMPORAL, WITH OR WITHOUT GRAFT ORDECOMPRESSION; LATERAL TO GENICULATE GANGLION",,,,,
69745,Neurosurgery,Neurosurgery,"SUTURE FACIAL NERVE, INTRATEMPORAL, WITH OR WITHOUT GRAFT ORDECOMPRESSION; INCLUDING MEDIAL TO GENICULATE GANGLION",,,,,
69799,ENT,ENT,"UNLISTED PROCEDURE, MIDDLE EAR",,,,,
69801,ENT,ENT,"LABYRINTHOTOMY, WITH PERFUSION OF VESTIBULOACTIVE DRUG(S); TRANSCANAL",,,,,
69802,ENT,ENT,"LABYRINTHOTOMY, WITH PERFUSION OF VESTIBULOACTIVE DRUG(S); WITH MASTOIDECTOMY",,,,,
69805,ENT,ENT,ENDOLYMPHATIC SAC OPERATION; WITHOUT SHUNT,,,,,
69806,ENT,ENT,ENDOLYMPHATIC SAC OPERATION; WITH SHUNT,,,,,
69820,ENT,ENT,FENESTRATION SEMICIRCULAR CANAL,,,,,
69840,ENT,ENT,REVISION FENESTRATION OPERATION,,,,,
69905,ENT,ENT,LABYRINTHECTOMY; TRANSCANAL,,,,,
69910,ENT,ENT,LABYRINTHECTOMY; WITH MASTOIDECTOMY,,,,,
69915,ENT,ENT,"VESTIBULAR NERVE SECTION, TRANSLABYRINTHINE APPROACH",,,,,
69930,ENT,ENT,"COCHLEAR DEVICE IMPLANTATION, WITH OR WITHOUT MASTOIDECTOMY",,,,,
69949,ENT,ENT,"UNLISTED PROCEDURE, INNER EAR",,,,,
69950,ENT,ENT,"VESTIBULAR NERVE SECTION, TRANSCRANIAL APPROACH",,,,,
69955,Neurosurgery,Neurosurgery,TOTAL FACIAL NERVE DECOMPRESSION AND/OR REPAIR (MAY INCLUDE GRAFT),,,,,
69960,ENT,ENT,DECOMPRESSION INTERNAL AUDITORY CANAL,,,,,
69965,ENT,ENT,"(CODE DELETED IN 1989. TO REPORT, USE 69979) EUSTACHIAN TUBOPLASTY",,,,,
69970,Orthopedic Surgery,Orthopedic Surgery,"REMOVAL OF TUMOR, TEMPORAL BONE",,,,,
69979,ENT,ENT,"UNLISTED PROCEDURE, TEMPORAL BONE, MIDDLE FOSSA APPROACH",,,,,
69990,Neurosurgery,Neurosurgery,"MICROSURGICAL TECHNIQUES, REQUIRING USE OF OPERATING MICROSCOPE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,
70010,Imaging Center (Radiology),CT Scan,"MYELOGRAPHY, POSTERIOR FOSSA, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
70011,Imaging Center (Radiology),CT Scan,"(CODE DELETED IN 1992. TO REPORT, SEE 61055,62284,70010) MYELOGRAPHY, POSTERIOR FOSSA; COMPLETE PROCEDURE",,,,,
70015,Imaging Center (Radiology),Routine Radiology Imaging,"CISTERNOGRAPHY, POSITIVE CONTRAST, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
70016,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 61055,62284,70015) CISTERNOGRAPHY, POSITIVE CONTRAST; COMPLETE PROCEDURE",,,,,
70030,Ophthalmology,Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, EYE, FOR DETECTION OF FOREIGN BODY",,,,,
70040,Ophthalmology,Ophthalmology,"(CODE DELETED IN 1988.) RADIOLOGIC EXAMINATION, EYE; FOR LOCALIZATION OF FOREIGN BODY (DOES NOT INCLUDE DETECTION)",,,,,
70050,Ophthalmology,Ophthalmology,"(CODE DELETED IN 1988.) RADIOLOGIC EXAMINATION, EYE; FOR DETECTION AND LOCALIZATION OF FOREIGN BODY",,,,,
70100,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, MANDIBLE; PARTIAL, LESS THAN 4 VIEWS",,,,,
7010F,Family Practice,Office Visit,PATIENT INFORMATION ENTERED INTO A RECALL SYSTEM THAT INCLUDES: TARGET DATE FOR THE NEXT EXAM SPECIFIED AND A PROCESS TO FOLLOW UP WITH PATIENTS REGARDING MISSED OR UNSCHEDULED APPOINTMENTS (ML) (CPT CATEGORY II CODE),,,,,
70110,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, MANDIBLE; COMPLETE, MINIMUM OF 4 VIEWS",,,,,
70120,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, MASTOIDS; LESS THAN THREE VIEWS PER SIDE",,,,,
70130,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, MASTOIDS; COMPLETE, MINIMUM OF THREEVIEWS PER SIDE",,,,,
70134,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, INTERNAL AUDITORY MEATI, COMPLETE",,,,,
70140,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, FACIAL BONES; LESS THAN THREE VIEWS",,,,,
70150,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, FACIAL BONES; COMPLETE, MINIMUM OF THREE VIEWS",,,,,
70160,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, NASAL BONES, COMPLETE, MINIMUM OF THREE VIEWS",,,,,
70170,Imaging Center (Radiology),Routine Radiology Imaging,"DACRYOCYSTOGRAPHY, NASOLACRIMAL DUCT, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
70171,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 68850, 70170) DACRYOCYSTOGRAPHY, NASOLACRIMAL DUCT; COMPLETE PROCEDURE",,,,,
70190,Imaging Center (Radiology),Routine Radiology Imaging,RADIOLOGIC EXAMINATION; OPTIC FORAMINA,,,,,
70200,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; ORBITS, COMPLETE, MINIMUM OF FOUR VIEWS",,,,,
7020F,Family Practice,Office Visit,BREAST IMAGING-REPORTING AND DATA SYSTEM (BI-RADS) ASSESSMENT CATEGORY ENTERED INTO AN INTERNAL DATABASE TO ALLOW FOR ANALYSIS OF ABNORMAL INTERPRETATION (RECALL) RATE (RAD)5 (CPT CATEGORY II CODE),,,,,
70210,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SINUSES, PARANASAL, LESS THAN THREE VIEWS",,,,,
70220,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SINUSES, PARANASAL, COMPLETE, MINIMUM OF THREE VIEWS",,,,,
70240,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SELLA TURCICA",,,,,
70250,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SKULL; LESS THAN 4 VIEWS",,,,,
7025F,Family Practice,Office Visit,PATIENT INFORMATION ENTERED INTO A REMINDER SYSTEM WITH A TARGET DUE DATE FOR THE NEXT MAMMOGRAM (RAD)5 (CPT CATEGORY II CODE),,,,,
70260,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SKULL; COMPLETE, MINIMUM OF FOUR VIEWS, WITH OR WITHOUT STEREO",,,,,
70300,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, TEETH; SINGLE VIEW",,,,,
70310,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, TEETH; PARTIAL EXAMINATION, LESS THAN FULL MOUTH",,,,,
70320,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, TEETH; COMPLETE, FULL MOUTH",,,,,
70328,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, TEMPOROMANDIBULAR JOINT, OPEN AND CLOSED MOUTH; UNILATERAL",,,,,
70330,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, TEMPOROMANDIBULAR JOINT, OPEN AND CLOSED MOUTH; BILATERAL",,,,,
70332,Imaging Center (Radiology),Routine Radiology Imaging,"TEMPOROMANDIBULAR JOINT ARTHROGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
70333,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 21116,70332) TEMPOROMANDIBULAR JOINT ARTHROGRAPHY; COMPLETE PROCEDURE",,,,,
70336,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, TEMPOROMANDIBULAR JOINT(S)",,,,,
70350,Imaging Center (Radiology),Routine Radiology Imaging,"CEPHALOGRAM, ORTHODONTIC",,,,,
70355,Imaging Center (Radiology),Routine Radiology Imaging,ORTHOPANTOGRAM,,,,,
70360,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; NECK, SOFT TISSUE",,,,,
70370,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION; PHARYNX OR LARYNX, INCLUDING FLUOROSCOPY AND/OR MAGNIFICATION TECHNIQUE",,,,,
70371,Speech-Language Pathology,SLP,COMPLEX DYNAMIC PHARYNGEAL AND SPEECH EVALUATION BY CINE OR VIDEO RECORDING,,,,,
70373,Ophthalmology,Ophthalmology,"LARYNGOGRAPHY, CONTRAST, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
70374,Ophthalmology,Ophthalmology,"(CODE DELETED IN 1992. TO REPORT, SEE 31708,70373) LARYNGOGRAPHY, CONTRAST; COMPLETE PROCEDURE",,,,,
70380,Imaging Center (Radiology),Routine Radiology Imaging,"RADIOLOGIC EXAMINATION, SALIVARY GLAND FOR CALCULUS",,,,,
70390,Imaging Center (Radiology),Routine Radiology Imaging,"SIALOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",,,,,
70391,Imaging Center (Radiology),Routine Radiology Imaging,"(CODE DELETED IN 1992. TO REPORT, SEE 42550,70390) SIALOGRAPHY; COMPLETE PROCEDURE",,,,,
70450,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, HEAD OR BRAIN; WITHOUT CONTRAST MATERIAL",,,,,
70460,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, HEAD OR BRAIN; WITH CONTRAST MATERIAL(S)",,,,,
70470,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, HEAD OR BRAIN; WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",,,,,
70480,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, ORBIT, SELLA, OR POSTERIOR FOSSA OR OUTER, MIDDLE, OR INNER EAR; WITHOUT CONTRAST MATERIAL",,,,,
70481,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, ORBIT, SELLA, OR POSTERIOR FOSSA OR OUTER, MIDDLE, OR INNER EAR; WITH CONTRAST MATERIAL(S)",,,,,
70482,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, ORBIT, SELLA, OR POSTERIOR FOSSA OR OUTER, MIDDLE, OR INNER EAR; WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",,,,,
70486,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, MAXILLOFACIAL AREA; WITHOUT CONTRAST MATERIAL",,,,,
70487,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, MAXILLOFACIAL AREA; WITH CONTRAST MATERIAL(S)",,,,,
70488,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, MAXILLOFACIAL AREA; WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",,,,,
70490,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, SOFT TISSUE NECK; WITHOUT CONTRAST MATERIAL",,,,,
70491,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHY, SOFT TISSUE NECK; WITH CONTRAST MATERIAL(S)",,,,,
70492,Imaging Center (Radiology),CT Scan,"COMPUTERIZED AXIAL TOMOGRAPHY, SOFT TISSUE NECK; WITHOUT CONTRAST MATERIAL FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS",,,,,
70496,Imaging Center (Radiology),CT Scan,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, HEAD, WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS, INCLUDING IMAGE POST-PROCESSING",,,,,
70498,Interventional Cardiology,CT Scan,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, NECK, WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SECTIONS, INCLUDING IMAGE POST-PROCESSING",,,,,
70540,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ORBIT, FACE, AND NECK; WITHOUT CONTRAST MATERIAL(S)",,,,,
70541,Imaging Center (Radiology),MRI,"(CODE DELETED IN 2001. TO REPORT, SEE 70544, 70545, 70546, 70547, 70548, 70549) MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, WITH OR WITHOUT CONTRAST MATERIAL(S)",,,,,
70542,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ORBIT, FACE, AND/ORNECK; WITH CONTRAST MATERIAL(S)",,,,,
70543,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, ORBIT, FACE, AND NECK; WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES",,,,,
70544,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD; WITHOUT CONTRAST MATERIAL(S)",,,,,
70545,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD; WITH CONTRAST MATERIAL(S)",,,,,
70546,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD; WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES",,,,,
70547,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE ANGIOGRAPHY, NECK; WITHOUT CONTRAST MATERIAL(S)",,,,,
70548,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE ANGIOGRAPHY, NECK; WITH CONTRAST MATERIAL(S)",,,,,
70549,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE ANGIOGRAPHY, NECK; WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES",,,,,
70551,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, BRAIN (INCLUDING BRAIN STEM); WITHOUT CONTRAST MATERIAL",,,,,
70552,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, BRAIN (INCLUDING BRAIN STEM); WITH CONTRAST MATERIAL(S)",,,,,
70553,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, BRAIN (INCLUDING BRAIN STEM); WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRASTMATERIAL(S) AND FURTHER SEQUENCES",,,,,
70554,Imaging Center (Radiology),MRI,NULL,,,,,
70555,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE IMAGING, BRAIN, FUNCTIONAL MRI; REQUIRINGPHYSICIAN OR PSYCHOLOGIST ADMINISTRATION OF ENTIRE NEUROFUNCTIONAL TESTING",,,,,
70557,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, BRAIN (INCLUDING BRAIN STEM AND SKULL BASE), DURING OPEN INTRACRANIAL PROCEDURE (EG, TO ASSESS FOR RESIDUAL TUMOR OR RESIDUAL VASCULAR MALFORMATION); WITHOUT CONTRAST MATERIAL",,,,,
70558,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, BRAIN (INCLUDING BRAIN STEM AND SKULL BASE), DURING OPEN INTRACRANIAL PROCEDURE (EG, TO ASSESS FOR RESIDUAL TUMOR OR RESIDUAL VASCULAR MALFORMATION); WITH CONTRAST MATERIAL(S)",,,,,
70559,Imaging Center (Radiology),MRI,"MAGNETIC RESONANCE (EG, PROTON) IMAGING, BRAIN (INCLUDING BRAIN STEM AND SKULL BASE), DURING OPEN INTRACRANIAL PROCEDURE (EG, TO ASSESS FOR RESIDUAL TUMOR OR RESIDUAL VASCULAR MALFORMATION); WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAS",,,,,
71010,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, CHEST; SINGLE VIEW, FRONTAL",,,,,
71015,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, CHEST; STEREO, FRONTAL",,,,,
71020,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, CHEST, 2 VIEWS, FRONTAL AND LATERAL;",,,,,
71021,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, CHEST, TWO VIEWS, FRONTAL AND LATERAL; WITH APICAL LORDOTIC PROCEDURE",,,,,
71022,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, CHEST, TWO VIEWS, FRONTAL AND LATERAL; WITH OBLIQUE PROJECTIONS",,,,,
71023,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, CHEST, 2 VIEWS, FRONTAL AND LATERAL;WITH FLUOROSCOPY",,,,,
71030,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, CHEST, COMPLETE, MINIMUM OF 4 VIEWS;",,,,,
71034,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, CHEST, COMPLETE, MINIMUM OF FOUR VIEWS; WITH FLUOROSCOPY",,,,,
71035,Imaging Center (Radiology),MRI,"RADIOLOGIC EXAMINATION, CHEST, SPECIAL VIEWS (EG, LATERAL DECUBITUS, BUCKY STUDIES)",,,,,
71036,Imaging Center (Radiology),MRI,"(CODE DELETED IN 2001. TO REPORT, USE 76003) NEEDLE BIOPSY OF INTRATHORACIC LESION, INCLUDING FOLLOW-UP FILMS; FLUOROSCOPIC LOCALIZATION ONLY, RADIOLOGICAL SUPERVISION ANDINTERPRETATION",,,,,
71037,Imaging Center (Radiology),MRI,"(CODE DELETED IN 1992. TO REPORT, SEE 32400, 32405, 71036) NEEDLE BIOPSY OF INTRATHORACIC LESION, INCLUDING FOLLOW-UP FILMS; COMPLETE PROCEDURE",,,,,
71038,Imaging Center (Radiology),MRI,"(CODE DELETED IN 1999. TO REPORT, USE 31628) FLUOROSCOPIC LOCALIZATION FOR TRANSBRONCHIAL BIOPSY OR BRUSHING",,,,,
